location,date,Moderna,Oxford/AstraZeneca,Sinopharm/Beijing,Sputnik V,CanSino,Pfizer/BioNTech,Johnson&Johnson,Novavax,Sinovac,Covaxin
Argentina,2020-12-29,2,3,1,20481,0,0,0,0,0,0
Argentina,2020-12-30,2,3,1,40583,0,0,0,0,0,0
Argentina,2020-12-31,2,3,1,43388,0,0,0,0,0,0
Argentina,2021-01-01,2,5,1,43513,0,0,0,0,0,0
Argentina,2021-01-02,2,6,1,46824,0,0,0,0,0,0
Argentina,2021-01-03,2,6,1,47266,0,0,0,0,0,0
Argentina,2021-01-04,2,6,1,57726,0,0,0,0,0,0
Argentina,2021-01-05,2,6,5,68445,0,0,0,0,0,0
Argentina,2021-01-06,2,6,8,78551,0,0,0,0,0,0
Argentina,2021-01-07,2,7,8,96771,0,0,0,0,0,0
Argentina,2021-01-08,2,7,8,124652,0,0,0,0,0,0
Argentina,2021-01-09,2,7,9,134860,0,0,0,0,0,0
Argentina,2021-01-10,2,7,10,136034,0,0,0,0,0,0
Argentina,2021-01-11,2,8,11,155856,0,0,0,0,0,0
Argentina,2021-01-12,2,8,14,175239,0,0,0,0,0,0
Argentina,2021-01-13,2,8,18,192001,0,0,0,0,0,0
Argentina,2021-01-14,2,8,19,208646,0,0,0,0,0,0
Argentina,2021-01-15,2,8,19,226081,0,0,0,0,0,0
Argentina,2021-01-16,2,8,19,231964,0,0,0,0,0,0
Argentina,2021-01-17,2,8,19,233025,0,0,0,0,0,0
Argentina,2021-01-18,2,8,19,242856,0,0,0,0,0,0
Argentina,2021-01-19,2,8,20,256102,0,0,0,0,0,0
Argentina,2021-01-20,2,8,20,275522,0,0,0,0,0,0
Argentina,2021-01-21,2,13,22,289629,0,0,0,0,0,0
Argentina,2021-01-22,2,16,23,298839,0,0,0,0,0,0
Argentina,2021-01-23,2,21,23,302778,0,0,0,0,0,0
Argentina,2021-01-24,2,22,23,303080,0,0,0,0,0,0
Argentina,2021-01-25,2,30,23,317281,0,0,0,0,0,0
Argentina,2021-01-26,2,68,24,330047,0,0,0,0,0,0
Argentina,2021-01-27,2,70,24,340149,0,0,0,0,0,0
Argentina,2021-01-28,2,70,24,356199,0,0,0,0,0,0
Argentina,2021-01-29,2,71,24,379691,0,0,0,0,0,0
Argentina,2021-01-30,2,71,24,389003,0,0,0,0,0,0
Argentina,2021-01-31,2,71,25,389626,0,0,0,0,0,0
Argentina,2021-02-01,2,89,25,409129,0,0,0,0,0,0
Argentina,2021-02-02,2,122,25,432967,0,0,0,0,0,0
Argentina,2021-02-03,2,130,28,459564,0,0,0,0,0,0
Argentina,2021-02-04,2,135,51,487649,0,0,0,0,0,0
Argentina,2021-02-05,2,140,58,520656,3,0,0,0,0,0
Argentina,2021-02-06,2,140,62,531576,3,0,0,0,0,0
Argentina,2021-02-07,2,140,66,532955,3,0,0,0,0,0
Argentina,2021-02-08,2,142,67,556368,3,0,0,0,0,0
Argentina,2021-02-09,2,144,73,576556,3,0,0,0,0,0
Argentina,2021-02-10,2,147,78,592167,3,0,0,0,0,0
Argentina,2021-02-11,2,150,84,610007,3,0,0,0,0,0
Argentina,2021-02-12,2,151,85,625833,3,0,0,0,0,0
Argentina,2021-02-13,2,153,87,628866,3,0,0,0,0,0
Argentina,2021-02-14,2,153,89,629016,3,0,0,0,0,0
Argentina,2021-02-15,2,153,91,630329,3,0,0,0,0,0
Argentina,2021-02-16,2,165,93,631626,3,0,0,0,0,0
Argentina,2021-02-17,2,176,96,655999,3,0,0,0,0,0
Argentina,2021-02-18,2,207,100,719771,3,0,0,0,0,0
Argentina,2021-02-19,2,389,100,787456,3,0,0,0,0,0
Argentina,2021-02-20,2,537,101,819921,3,0,0,0,0,0
Argentina,2021-02-21,2,935,101,839697,3,0,0,0,0,0
Argentina,2021-02-22,2,23510,101,884657,3,0,0,0,0,0
Argentina,2021-02-23,2,73679,103,921408,3,0,0,0,0,0
Argentina,2021-02-24,2,135717,106,953134,3,0,0,0,0,0
Argentina,2021-02-25,2,188836,110,979424,3,0,0,0,0,0
Argentina,2021-02-26,2,244861,119,1005040,3,0,0,0,0,0
Argentina,2021-02-27,2,258184,120,1009594,3,0,0,0,0,0
Argentina,2021-02-28,2,263527,121,1010370,3,0,0,0,0,0
Argentina,2021-03-01,2,316821,823,1030908,3,0,0,0,0,0
Argentina,2021-03-02,2,368429,5775,1049929,3,0,0,0,0,0
Argentina,2021-03-03,2,404366,23601,1067596,3,0,0,0,0,0
Argentina,2021-03-04,2,430061,87899,1089649,3,0,0,0,0,0
Argentina,2021-03-05,2,454341,154403,1110584,3,0,0,0,0,0
Argentina,2021-03-06,2,462250,196825,1115182,3,0,0,0,0,0
Argentina,2021-03-07,2,467234,203265,1115559,3,0,0,0,0,0
Argentina,2021-03-08,2,498797,256191,1133531,3,1,0,0,0,0
Argentina,2021-03-09,2,515123,319299,1169871,3,1,0,0,0,0
Argentina,2021-03-10,2,527198,418012,1223016,3,1,0,0,0,0
Argentina,2021-03-11,2,537131,502877,1315000,3,1,0,0,0,0
Argentina,2021-03-12,2,544648,564007,1407959,3,1,0,0,0,0
Argentina,2021-03-13,2,547621,574509,1440857,3,1,0,0,0,0
Argentina,2021-03-14,2,547670,581164,1443321,3,1,0,0,0,0
Argentina,2021-03-15,2,554085,621768,1533852,3,1,0,0,0,0
Argentina,2021-03-16,2,557201,656429,1629754,3,1,0,0,0,0
Argentina,2021-03-17,2,559905,679387,1743617,3,1,0,0,0,0
Argentina,2021-03-18,2,561589,701526,1858704,3,1,0,0,0,0
Argentina,2021-03-19,2,563430,725122,1959408,3,2,0,0,0,0
Argentina,2021-03-20,2,563767,729059,2005991,3,2,0,0,0,0
Argentina,2021-03-21,2,563789,729408,2025244,3,2,0,0,0,0
Argentina,2021-03-22,2,565252,746793,2089411,3,2,0,0,0,0
Argentina,2021-03-23,2,569940,760339,2177600,3,2,0,0,0,0
Argentina,2021-03-24,2,571216,763475,2210640,3,2,0,0,0,0
Argentina,2021-03-25,2,572564,774370,2301558,3,2,0,0,0,0
Argentina,2021-03-26,2,575204,783534,2383288,3,2,0,0,0,0
Argentina,2021-03-27,2,576091,785838,2435164,3,2,0,0,0,0
Argentina,2021-03-28,2,576984,786314,2454605,3,2,0,0,0,0
Argentina,2021-03-29,2,580558,797817,2559688,3,3,0,0,0,0
Argentina,2021-03-30,2,583420,808319,2709297,3,3,0,0,0,0
Argentina,2021-03-31,2,603350,820316,2852266,3,3,0,0,0,0
Argentina,2021-04-01,2,628906,824077,2940071,3,3,0,0,0,0
Argentina,2021-04-02,2,641722,826393,2993077,3,3,0,0,0,0
Argentina,2021-04-03,2,660365,827494,3047816,3,3,0,0,0,0
Argentina,2021-04-04,3,674751,829152,3080238,3,3,0,0,0,0
Argentina,2021-04-05,3,708565,858270,3183254,3,3,0,0,0,0
Argentina,2021-04-06,3,734996,933397,3275628,3,3,0,0,0,0
Argentina,2021-04-07,3,765212,1051677,3365425,3,3,0,0,0,0
Argentina,2021-04-08,3,789287,1181911,3446976,3,4,0,0,0,0
Argentina,2021-04-09,3,807618,1329450,3521447,3,4,0,0,0,0
Argentina,2021-04-10,3,812431,1383431,3555576,3,4,0,0,0,0
Argentina,2021-04-11,3,813297,1416282,3570164,3,4,0,0,0,0
Argentina,2021-04-12,3,823183,1511610,3646718,3,4,0,0,0,0
Argentina,2021-04-13,4,831511,1594021,3741951,3,4,0,0,0,0
Argentina,2021-04-14,4,837942,1661351,3839798,3,4,0,0,0,0
Argentina,2021-04-15,4,842122,1712489,3935497,3,4,0,0,0,0
Argentina,2021-04-16,4,845404,1758562,4009800,3,4,0,0,0,0
Argentina,2021-04-17,4,846289,1774666,4038508,3,4,0,0,0,0
Argentina,2021-04-18,4,847565,1776927,4054872,3,4,0,0,0,0
Argentina,2021-04-19,4,862952,1801870,4104987,3,5,0,0,0,0
Argentina,2021-04-20,4,915459,1825885,4151119,3,5,0,0,0,0
Argentina,2021-04-21,4,1035692,1847077,4183585,4,5,0,0,0,0
Argentina,2021-04-22,4,1152947,1862605,4228893,6,5,0,0,0,0
Argentina,2021-04-23,4,1271229,1876691,4291018,6,5,0,0,0,0
Argentina,2021-04-24,4,1325078,1878260,4327803,6,5,0,0,0,0
Argentina,2021-04-25,4,1357532,1878633,4344280,6,5,0,0,0,0
Argentina,2021-04-26,4,1430598,1886192,4435708,6,5,0,0,0,0
Argentina,2021-04-27,4,1489673,1893537,4522952,6,5,0,0,0,0
Argentina,2021-04-28,4,1541765,1921474,4601862,6,5,0,0,0,0
Argentina,2021-04-29,4,1580453,1961580,4679242,6,5,0,0,0,0
Argentina,2021-04-30,4,1610966,1997714,4727477,6,5,0,0,0,0
Argentina,2021-05-01,4,1616218,2001420,4738810,6,5,0,0,0,0
Argentina,2021-05-02,4,1622804,2015544,4758259,6,5,0,0,0,0
Argentina,2021-05-03,4,1646398,2089460,4835367,6,6,0,0,0,0
Argentina,2021-05-04,4,1669982,2183523,4949688,6,6,0,0,0,0
Argentina,2021-05-05,4,1694847,2262018,5091163,6,6,0,0,0,0
Argentina,2021-05-06,4,1712664,2326544,5211534,6,6,0,0,0,0
Argentina,2021-05-07,4,1726608,2422580,5306814,7,6,0,0,0,0
Argentina,2021-05-08,4,1730663,2464187,5335412,7,6,0,0,0,0
Argentina,2021-05-09,4,1732397,2467680,5348871,7,6,0,0,0,0
Argentina,2021-05-10,4,1742291,2531777,5416460,7,6,0,0,0,0
Argentina,2021-05-11,5,1750543,2596548,5483796,7,7,0,0,0,0
Argentina,2021-05-12,6,1756319,2735844,5536286,7,7,0,0,0,0
Argentina,2021-05-13,6,1762001,2884477,5574026,7,7,0,0,0,0
Argentina,2021-05-14,6,1771182,3032732,5612988,7,7,0,0,0,0
Argentina,2021-05-15,6,1774250,3083161,5654585,7,7,0,0,0,0
Argentina,2021-05-16,6,1775721,3126469,5677394,7,7,0,0,0,0
Argentina,2021-05-17,6,1783017,3222147,5761300,7,7,0,0,0,0
Argentina,2021-05-18,6,1792790,3267064,5904685,7,7,0,0,0,0
Argentina,2021-05-19,6,1800122,3300353,6031683,7,8,0,0,0,0
Argentina,2021-05-20,6,1810604,3335566,6168436,7,8,0,0,0,0
Argentina,2021-05-21,6,1819779,3413720,6258267,7,8,0,0,0,0
Argentina,2021-05-22,6,1821300,3457692,6313189,7,8,0,0,0,0
Argentina,2021-05-23,6,1821711,3480569,6335149,7,8,0,0,0,0
Argentina,2021-05-24,6,1822882,3500043,6402839,7,9,0,0,0,0
Argentina,2021-05-25,6,1844948,3503218,6440987,7,9,0,0,0,0
Argentina,2021-05-26,6,1871731,3536737,6533648,7,9,0,0,0,0
Argentina,2021-05-27,6,1917119,3569945,6624339,7,9,0,0,0,0
Argentina,2021-05-28,6,2009367,3598786,6749142,7,9,0,0,0,0
Argentina,2021-05-29,6,2119226,3608679,6856794,7,9,0,0,0,0
Argentina,2021-05-30,6,2178326,3610294,6924888,7,9,0,0,0,0
Argentina,2021-05-31,6,2305419,3627182,7079777,7,9,0,0,0,0
Argentina,2021-06-01,6,2454385,3640709,7232008,7,9,0,0,0,0
Argentina,2021-06-02,6,2617796,3653828,7364631,8,9,0,0,0,0
Argentina,2021-06-03,6,2840560,3666003,7479145,8,9,0,0,0,0
Argentina,2021-06-04,6,3145445,3681825,7566379,8,9,0,0,0,0
Argentina,2021-06-05,6,3423091,3686494,7610772,8,9,0,0,0,0
Argentina,2021-06-06,6,3610886,3688524,7638208,8,9,0,0,0,0
Argentina,2021-06-07,6,3890170,3697855,7702556,8,9,0,0,0,0
Argentina,2021-06-08,6,4167486,3705928,7786898,8,9,0,0,0,0
Argentina,2021-06-09,7,4426417,3712707,7893392,8,9,0,0,0,0
Argentina,2021-06-10,7,4650201,3718722,7998456,8,9,0,0,0,0
Argentina,2021-06-11,7,4834280,3729433,8170282,8,9,0,0,0,0
Argentina,2021-06-12,7,4900233,3741500,8277249,8,9,0,0,0,0
Argentina,2021-06-13,7,4944874,3743320,8313424,8,9,0,0,0,0
Argentina,2021-06-14,7,5071644,3753927,8413878,8,9,0,0,0,0
Argentina,2021-06-15,7,5200824,3759691,8536491,8,9,0,0,0,0
Argentina,2021-06-16,7,5386184,3764470,8633036,8,9,0,0,0,0
Argentina,2021-06-17,7,5615182,3770787,8711966,8,9,0,0,0,0
Argentina,2021-06-18,8,5939658,3776659,8780599,8,11,0,0,0,0
Argentina,2021-06-19,8,6126103,3779223,8824091,8,11,0,0,0,0
Argentina,2021-06-20,8,6204046,3779508,8845053,8,11,0,0,0,0
Argentina,2021-06-21,8,6342272,3780790,8875154,8,11,0,0,0,0
Argentina,2021-06-22,8,6569450,3786718,8929582,8,12,0,0,0,0
Argentina,2021-06-23,8,6763111,3811040,8974526,8,12,0,0,0,0
Argentina,2021-06-24,8,6938127,3884153,9030759,8,12,0,0,0,0
Argentina,2021-06-25,8,7157490,3993933,9078070,9,12,0,0,0,0
Argentina,2021-06-26,8,7350567,4085572,9109329,9,12,0,0,0,0
